playlist_name,num_tracks,track_name,track_duration,track_explicit,track_popularity,acousticness,danceability,energy,instrumentalness,key,loudness,mode,tempo,valence,artist1_name,artist2_name,artist3_name,album_name,album_type,album_popularity,album_release_date,genres,pop,indie,rock,edm,hip hop,dance,avg_artist_following,avg_artist_popularity,single
FIFA 20 Soundtrack,41,Que Calor (feat. J Balvin & El Alfa),169997,0,73,0.0375,0.795,0.885,0.006379999999999999,8,-4.13,1,126.037,0.46,Major Lazer,J Balvin,El Alfa,Que Calor (feat. J Balvin & El Alfa),single,66,2019-09-11,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop rap', 'latin', 'reggaeton', 'dembow', 'latin', 'rap dominicano', 'reggaeton', 'tropical']",1,0,0,1,0,1,9363300.0,86.66666666666667,1
FIFA 20 Soundtrack,41,"Yo x Ti, Tu x Mi",201040,0,80,0.462,0.78,0.759,0.000868,1,-3.292,1,91.95200000000001,0.579,ROSALÍA,Ozuna,,"Yo x Ti, Tu x Mi",single,73,2019-08-15,"['r&b en espanol', 'latin', 'puerto rican pop', 'reggaeton', 'trap latino']",1,0,0,0,0,0,13612422.0,88.5,1
FIFA 20 Soundtrack,41,Swing,179658,0,19,0.0064,0.775,0.7170000000000001,0.265,5,-5.348,0,122.994,0.282,Sofi Tukker,,,Swing,single,13,2019-07-12,"['electropop', 'pop']",1,0,0,1,0,0,405831.0,73.0,1
FIFA 20 Soundtrack,41,Vámono,208329,0,46,0.11199999999999999,0.672,0.733,0.373,2,-8.457,1,111.436,0.337,Buscabulla,,,Vámono,single,39,2019-09-25,"['indietronica', 'latintronica', 'puerto rican indie']",0,1,0,0,0,0,40030.0,49.0,1
FIFA 20 Soundtrack,41,Fado,250400,0,42,0.203,0.821,0.54,0.000657,3,-7.001,1,114.021,0.5870000000000001,Milky Chance,,,Fado,single,36,2019-09-27,['german pop'],1,0,0,0,0,0,1348476.0,76.0,1
FIFA 20 Soundtrack,41,Offence,168521,1,54,0.069,0.7759999999999999,0.8109999999999999,0.0004940000000000001,2,-5.273,1,116.696,0.5820000000000001,Little Simz,,,GREY Area,album,61,2019-03-01,"['escape room', 'indie r&b', 'indie soul', 'trap queen', 'uk alternative hip hop']",0,1,0,0,1,0,257223.0,62.0,0
FIFA 20 Soundtrack,41,Unemployed,168561,0,36,0.0318,0.877,0.371,1.26e-05,7,-6.751,1,153.997,0.149,Tierra Whack,,,Unemployed,single,30,2019-03-19,"['alternative r&b', 'escape room']",0,0,0,0,0,0,256048.0,70.0,1
FIFA 20 Soundtrack,41,RUNAWAY,161759,0,28,0.0036799999999999997,0.752,0.598,0.00165,0,-5.617000000000001,0,131.967,0.5920000000000001,half•alive,,,RUNAWAY,single,23,2019-06-13,"['indie pop', 'modern alternative rock', 'modern rock', 'rock']",1,1,1,0,0,0,367251.0,65.0,1
FIFA 20 Soundtrack,41,Ozone,197248,1,47,0.231,0.818,0.725,0.000608,9,-8.357000000000001,0,124.99799999999999,0.6559999999999999,JyellowL,,,Ozone,single,40,2019-05-03,['irish hip hop'],0,0,0,0,1,0,4135.0,40.0,1
FIFA 20 Soundtrack,41,Frens,198849,0,41,0.023,0.759,0.7959999999999999,6.34e-05,1,-7.4879999999999995,1,115.999,0.473,Obongjayar,,,Frens,single,34,2019-03-14,['indie r&b'],0,1,0,0,0,0,16502.0,51.0,1
FIFA 20 Soundtrack,41,Highway,198320,0,44,0.00238,0.81,0.562,0.0494,6,-6.2620000000000005,0,110.006,0.251,Suzi Wu,,,Error 404,single,39,2019-03-22,[],0,0,0,0,0,0,8351.0,35.0,1
FIFA 20 Soundtrack,41,Come Down,245826,0,0,0.0203,0.441,0.8690000000000001,2.56e-06,7,-3.2030000000000003,1,176.09,0.47,APRE,,,Come Down,single,0,2019-04-30,"['english indie rock', 'kent indie']",0,1,1,0,0,0,12508.0,47.0,1
FIFA 20 Soundtrack,41,Feel The Vibe,240884,1,58,0.188,0.631,0.8,0.000533,2,-6.546,0,87.48200000000001,0.857,BJ The Chicago Kid,,,1123,album,56,2019-07-26,"['alternative r&b', 'chicago rap', 'hip hop', 'indie r&b', 'indie soul', 'neo soul', 'rap', 'southern hip hop', 'underground hip hop']",0,1,0,0,1,0,301825.0,70.0,0
